epoch,loss,lr,val_loss
0,0.27239662408828735,1e-04,0.1911294162273407
1,0.14038383960723877,1e-04,0.12886245548725128
2,0.11163840442895889,1e-04,0.12228245288133621
3,0.09816128760576248,1e-04,0.19474028050899506
4,0.08862093091011047,1e-04,0.08783379197120667
5,0.08266735821962357,1e-04,0.09273087978363037
6,0.07442694902420044,1e-04,0.2226540893316269
7,0.07551447302103043,1e-04,0.07742848992347717
8,0.0665903091430664,1e-04,0.1999693214893341
0,0.3348928689956665,1e-04,0.2307850867509842
1,0.16208259761333466,1e-04,8.415753364562988
2,0.12827153503894806,1e-04,0.14060957729816437
3,0.10838281363248825,1e-04,0.1148480474948883
4,0.09611343592405319,1e-04,0.10755089670419693
5,0.09119029343128204,1e-04,0.09985905885696411
6,0.08394304662942886,1e-04,0.08479037880897522
7,0.07742344588041306,1e-04,0.07244827598333359
8,0.07285426557064056,1e-04,0.0803123190999031
9,0.06597708910703659,1e-04,0.07108205556869507
10,0.0602094866335392,1e-04,0.08479640632867813
11,0.058351077139377594,1e-04,0.06492513418197632
12,0.051159828901290894,1e-04,0.05246232450008392
13,0.04603248089551926,1e-04,0.05582297593355179
14,0.043219804763793945,1e-04,0.044755954295396805
15,0.03771437332034111,1e-04,0.054129526019096375
16,0.03943498432636261,1e-04,0.04381150007247925
17,0.03525911644101143,1e-04,0.043567825108766556
18,0.032229308038949966,1e-04,0.04721289500594139
19,0.029436824843287468,1e-04,0.05162079259753227
20,0.03208881989121437,1e-04,0.04522160068154335
21,0.025147167965769768,1e-04,0.04259045794606209
22,0.021284863352775574,1e-04,0.06454946845769882
23,0.02814449369907379,1e-04,0.04052494466304779
24,0.01902901567518711,1e-04,0.03789611533284187
25,0.023522762581706047,1e-04,0.054801713675260544
26,0.02082144469022751,1e-04,0.05195055902004242
27,0.020112723112106323,1e-04,0.03797898069024086
28,0.022290745750069618,1e-04,0.03938787803053856
29,0.020559171214699745,1e-04,0.054395776242017746
30,0.014127224683761597,1e-05,0.035302311182022095
31,0.011885613203048706,1e-05,0.0354057252407074
32,0.01118270494043827,1e-05,0.035864658653736115
33,0.010755801573395729,1e-05,0.03678915649652481
34,0.010344993323087692,1e-05,0.03737322986125946
35,0.009995332919061184,1e-05,0.03876671567559242
36,0.009629080072045326,1e-06,0.03815029561519623
37,0.009584201499819756,1e-06,0.038130227476358414
38,0.009530017152428627,1e-06,0.03828956559300423
39,0.009500193409621716,1e-06,0.03857327997684479
40,0.009461060166358948,1e-06,0.0385923907160759
41,0.009387793019413948,1e-07,0.03854456916451454
42,0.009430640377104282,1e-07,0.038551051169633865
43,0.009396103210747242,1e-07,0.038564540445804596
44,0.009366930462419987,1e-07,0.03863370046019554
45,0.009369376115500927,1e-07,0.038391366600990295
46,0.009365313686430454,1e-07,0.03856121376156807
47,0.00940149649977684,1e-07,0.03848017752170563
48,0.009379136376082897,1e-07,0.03881828859448433
49,0.009374725632369518,1e-07,0.038643110543489456
50,0.009355869144201279,1e-07,0.03864565119147301
