epoch,loss,lr,val_loss
0,0.27239662408828735,1e-04,0.1911294162273407
1,0.14038383960723877,1e-04,0.12886245548725128
2,0.11163840442895889,1e-04,0.12228245288133621
3,0.09816128760576248,1e-04,0.19474028050899506
4,0.08862093091011047,1e-04,0.08783379197120667
5,0.08266735821962357,1e-04,0.09273087978363037
6,0.07442694902420044,1e-04,0.2226540893316269
7,0.07551447302103043,1e-04,0.07742848992347717
8,0.0665903091430664,1e-04,0.1999693214893341
9,0.06216322258114815,1e-04,0.06296935677528381
10,0.05684041976928711,1e-04,0.14181740581989288
11,0.055820249021053314,1e-04,0.06475911289453506
12,0.05075501650571823,1e-04,0.05076867714524269
13,0.044736865907907486,1e-04,0.053954076021909714
14,0.045511163771152496,1e-04,0.05144407972693443
